--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250708 00:00	18.1	18.1	18.1	56	9.1	7	19	3	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:05	18.2	18.2	18.2	56	9.2	9	17	0	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:10	18.0	18.0	18.0	57	9.3	10	18	351	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:15	18.0	18.0	18.0	57	9.3	8	17	352	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:20	18.0	18.0	18.0	57	9.3	10	23	16	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:25	17.7	17.7	17.7	57	9.0	10	23	356	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:30	17.7	17.7	17.7	58	9.3	5	14	32	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:35	18.0	18.0	18.0	57	9.3	9	18	358	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:40	17.8	17.8	17.8	57	9.1	10	21	356	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:45	17.6	17.6	17.6	58	9.2	7	18	352	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:50	17.8	17.8	17.8	58	9.4	9	19	354	0.0	735.2	-100000	-100000.000	-1.0
20250708 00:55	17.6	17.6	17.6	58	9.2	7	18	342	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:00	17.6	17.6	17.6	58	9.2	5	17	342	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:05	17.8	17.8	17.8	58	9.4	6	18	345	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:10	17.8	17.8	17.8	58	9.4	5	17	345	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:15	17.8	17.8	17.8	58	9.4	8	18	1	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:20	17.5	17.5	17.5	58	9.1	12	23	14	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:25	17.1	17.1	17.1	59	9.0	8	20	9	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:30	17.3	17.3	17.3	59	9.2	7	24	34	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:35	17.2	17.2	17.2	57	8.6	3	15	174	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:40	17.5	17.5	17.5	56	8.6	6	17	55	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:45	17.3	17.3	17.3	54	7.9	8	20	14	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:50	17.1	17.1	17.1	50	6.5	7	16	3	0.0	735.2	-100000	-100000.000	-1.0
20250708 01:55	17.0	17.0	17.0	49	6.2	9	26	3	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:00	16.9	16.9	16.9	46	5.2	10	20	9	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:05	16.7	16.7	16.7	46	5.0	8	18	5	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:10	16.6	16.6	16.6	45	4.6	8	19	3	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:15	16.5	16.5	16.5	45	4.5	9	16	3	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:20	16.4	16.4	16.4	45	4.4	9	18	10	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:25	16.2	16.2	16.2	46	4.5	9	15	9	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:30	16.1	16.1	16.1	46	4.4	8	16	10	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:35	16.0	16.0	16.0	47	4.7	8	16	3	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:40	15.9	15.9	15.9	50	5.5	9	14	12	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:45	15.7	15.7	15.7	51	5.6	9	16	9	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:50	15.6	15.6	15.6	51	5.5	8	13	5	0.0	735.5	-100000	-100000.000	-1.0
20250708 02:55	15.5	15.5	15.5	50	5.1	8	13	10	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:00	15.5	15.5	15.5	49	4.8	6	12	18	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:05	15.4	15.4	15.4	49	4.7	6	9	30	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:10	15.4	15.4	15.4	50	5.0	5	9	30	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:15	15.3	15.3	15.3	49	4.6	4	9	70	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:20	15.4	15.4	15.4	50	5.0	5	11	140	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:25	15.6	15.6	15.6	56	6.8	6	10	162	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:30	15.8	15.8	15.8	58	7.5	6	10	158	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:35	15.8	15.8	15.8	59	7.8	6	9	160	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:40	15.8	15.8	15.8	57	7.3	8	12	171	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:45	15.8	15.8	15.8	58	7.5	9	12	180	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:50	15.7	15.7	15.7	57	7.2	8	10	180	0.0	735.5	-100000	-100000.000	-1.0
20250708 03:55	15.7	15.7	15.7	58	7.4	8	11	167	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:00	15.6	15.6	15.6	58	7.3	9	12	180	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:05	15.6	15.6	15.6	58	7.3	10	13	180	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:10	15.5	15.5	15.5	58	7.3	11	14	180	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:15	15.5	15.5	15.5	58	7.3	11	14	180	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:20	15.5	15.5	15.5	58	7.3	10	13	180	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:25	15.5	15.5	15.5	58	7.3	9	12	176	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:30	15.5	15.5	15.5	58	7.3	9	13	167	0.0	735.9	-100000	-100000.000	-1.0
20250708 04:35	15.5	15.5	15.5	58	7.3	9	12	167	0.0	736.2	-100000	-100000.000	-1.0
20250708 04:40	15.6	15.6	15.6	58	7.3	10	13	162	0.0	736.2	-100000	-100000.000	-1.0
20250708 04:45	15.5	15.5	15.5	58	7.3	9	13	162	0.0	736.2	-100000	-100000.000	-1.0
20250708 04:50	15.5	15.5	15.5	58	7.3	10	16	162	0.0	736.2	-100000	-100000.000	-1.0
20250708 04:55	15.7	15.7	15.7	58	7.4	10	15	162	0.0	736.2	-100000	-100000.000	-1.0
