--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250727 00:00	15.7	15.7	15.7	33	-0.6	10	19	225	0.0	733.9	331	0.483	2.7
20250727 00:05	15.4	15.4	15.4	33	-0.8	14	31	225	0.0	733.9	561	0.000	3.5
20250727 00:10	15.7	15.7	15.7	33	-0.6	13	24	225	0.0	733.9	684	0.000	3.9
20250727 00:15	15.8	15.8	15.8	33	-0.4	11	23	248	0.0	733.8	651	0.000	3.6
20250727 00:20	15.7	15.7	15.7	31	-1.4	14	26	225	0.0	733.8	492	0.000	2.9
20250727 00:25	14.9	14.9	14.9	32	-1.6	10	21	225	0.0	733.7	160	0.000	1.6
20250727 00:30	15.2	15.2	15.2	32	-1.4	10	23	202	0.0	733.7	482	0.000	2.5
20250727 00:35	15.3	15.3	15.3	33	-0.9	11	26	225	0.0	733.7	570	0.000	2.6
20250727 00:40	16.0	16.0	16.0	32	-0.7	6	16	225	0.0	733.7	530	0.000	2.4
20250727 00:45	15.9	15.9	15.9	30	-1.6	10	26	225	0.0	733.6	512	0.000	2.3
20250727 00:50	15.8	15.8	15.8	31	-1.3	10	19	225	0.0	733.7	439	0.000	1.9
20250727 00:55	15.1	15.1	15.1	32	-1.5	13	21	225	0.0	733.6	165	0.000	1.3
20250727 01:00	14.8	14.8	14.8	33	-1.3	8	18	202	0.0	733.6	150	0.330	1.1
20250727 01:05	14.6	14.6	14.6	34	-1.1	10	18	225	0.0	733.5	261	0.000	1.2
20250727 01:10	14.9	14.9	14.9	34	-0.8	8	14	225	0.0	733.5	405	0.000	1.4
20250727 01:15	15.1	15.1	15.1	34	-0.6	11	24	225	0.0	733.5	394	0.000	1.3
20250727 01:20	14.7	14.7	14.7	33	-1.4	13	23	225	0.0	733.4	326	0.000	1.1
20250727 01:25	14.6	14.6	14.6	33	-1.5	11	21	225	0.0	733.4	333	0.000	1.0
20250727 01:30	14.6	14.6	14.6	32	-1.9	13	27	225	0.0	733.4	276	0.000	0.8
20250727 01:35	14.3	14.3	14.3	33	-1.7	10	24	225	0.0	733.4	176	0.000	0.6
20250727 01:40	14.2	14.2	14.2	31	-2.7	11	24	225	0.0	733.5	216	0.000	0.6
20250727 01:45	14.3	14.3	14.3	32	-2.1	10	19	202	0.0	733.5	249	0.000	0.6
20250727 01:50	14.6	14.6	14.6	32	-2.0	6	19	202	0.0	733.4	225	0.000	0.4
20250727 01:55	14.3	14.3	14.3	32	-2.1	10	19	225	0.0	733.4	176	0.000	0.0
20250727 02:00	14.0	14.0	14.0	33	-2.0	6	13	202	0.0	733.4	96	0.229	0.0
20250727 02:05	13.7	13.7	13.7	34	-1.9	8	18	225	0.0	733.4	82	0.000	0.0
20250727 02:10	13.4	13.4	13.4	33	-2.5	6	11	202	0.0	733.3	68	0.000	0.0
20250727 02:15	13.2	13.2	13.2	33	-2.7	6	11	202	0.0	733.2	54	0.000	0.0
20250727 02:20	13.1	13.1	13.1	33	-2.8	6	16	202	0.0	733.3	46	0.000	0.0
20250727 02:25	12.8	12.8	12.8	32	-3.5	10	18	202	0.0	733.2	39	0.000	0.0
20250727 02:30	12.6	12.6	12.6	31	-4.1	11	24	202	0.0	733.2	35	0.000	0.0
20250727 02:35	12.3	12.3	12.3	32	-3.9	13	26	225	0.0	733.2	17	0.000	0.0
20250727 02:40	12.2	12.2	12.2	32	-4.0	10	18	202	0.0	733.2	9	0.000	0.0
20250727 02:45	12.1	12.1	12.1	32	-4.1	11	24	202	0.0	733.1	5	0.000	0.0
20250727 02:50	12.0	12.0	12.0	32	-4.2	11	23	202	0.0	733.1	5	0.000	0.0
20250727 02:55	11.9	11.9	11.9	32	-4.3	10	21	202	0.0	733.1	2	0.000	0.0
20250727 03:00	11.8	11.8	11.8	32	-4.3	10	18	202	0.0	733.1	0	0.076	0.0
20250727 03:05	11.8	11.8	11.8	32	-4.4	10	18	202	0.0	733.1	0	0.000	0.0
20250727 03:10	11.7	11.7	11.7	31	-4.8	11	19	202	0.0	733.1	0	0.000	0.0
20250727 03:15	11.7	11.7	11.7	31	-4.8	11	31	202	0.0	733.1	0	0.000	0.0
20250727 03:20	11.7	11.7	11.7	32	-4.5	10	27	202	0.0	733.2	0	0.000	0.0
20250727 03:25	11.6	11.6	11.6	32	-4.6	10	27	202	0.0	733.1	0	0.000	0.0
20250727 03:30	11.4	11.4	11.4	32	-4.7	11	18	202	0.0	733.1	0	0.000	0.0
20250727 03:35	11.3	11.3	11.3	33	-4.4	13	24	202	0.0	733.0	0	0.000	0.0
20250727 03:40	11.3	11.3	11.3	33	-4.4	13	26	202	0.0	733.0	0	0.000	0.0
20250727 03:45	11.3	11.3	11.3	33	-4.4	13	24	202	0.0	732.9	0	0.000	0.0
20250727 03:50	11.3	11.3	11.3	34	-4.0	14	24	202	0.0	733.0	0	0.000	0.0
20250727 03:55	11.3	11.3	11.3	34	-4.0	14	23	202	0.0	733.0	0	0.000	0.0
20250727 04:00	11.3	11.3	11.3	34	-4.0	16	31	202	0.0	733.0	0	0.076	0.0
20250727 04:05	11.3	11.3	11.3	34	-4.0	14	23	202	0.0	733.0	0	0.000	0.0
20250727 04:10	11.2	11.2	11.2	34	-4.1	16	24	202	0.0	733.1	0	0.000	0.0
20250727 04:15	11.2	11.2	11.2	34	-4.1	16	23	202	0.0	733.0	0	0.000	0.0
20250727 04:20	11.2	11.2	11.2	34	-4.1	16	32	202	0.0	733.0	0	0.000	0.0
20250727 04:25	11.2	11.2	11.2	33	-4.5	16	29	202	0.0	733.1	0	0.000	0.0
20250727 04:30	11.2	11.2	11.2	33	-4.5	16	23	202	0.0	733.1	0	0.000	0.0
20250727 04:35	11.3	11.3	11.3	33	-4.4	16	27	202	0.0	733.1	0	0.000	0.0
20250727 04:40	11.2	11.2	11.2	34	-4.1	16	24	202	0.0	733.0	0	0.000	0.0
20250727 04:45	11.2	11.2	11.2	34	-4.1	18	27	202	0.0	733.0	0	0.000	0.0
20250727 04:50	11.2	11.2	11.2	34	-4.1	18	31	202	0.0	733.0	0	0.000	0.0
20250727 04:55	11.1	11.1	11.1	34	-4.2	19	29	202	0.0	733.0	0	0.000	0.0
20250727 05:00	11.1	11.1	11.1	34	-4.2	18	26	202	0.0	733.0	0	0.102	0.0
20250727 05:05	11.1	11.1	11.1	35	-3.8	19	27	202	0.0	733.0	0	0.000	0.0
20250727 05:10	11.1	11.1	11.1	35	-3.8	19	31	202	0.0	733.0	0	0.000	0.0
20250727 05:15	11.1	11.1	11.1	35	-3.8	19	31	202	0.0	732.9	0	0.000	0.0
20250727 05:20	11.1	11.1	11.1	35	-3.8	21	39	202	0.0	733.0	0	0.000	0.0
20250727 05:25	11.1	11.1	11.1	35	-3.8	19	31	202	0.0	732.9	0	0.000	0.0
20250727 05:30	11.2	11.2	11.2	35	-3.7	21	37	202	0.0	732.9	0	0.000	0.0
20250727 05:35	11.2	11.2	11.2	35	-3.7	19	34	202	0.0	733.0	0	0.000	0.0
20250727 05:40	11.2	11.2	11.2	35	-3.7	23	43	202	0.0	733.0	0	0.000	0.0
20250727 05:45	11.1	11.1	11.1	36	-3.4	21	40	202	0.0	733.1	0	0.000	0.0
20250727 05:50	11.0	11.0	11.0	36	-3.5	19	31	202	0.0	733.0	0	0.000	0.0
20250727 05:55	10.9	10.9	10.9	36	-3.6	21	34	202	0.0	733.0	0	0.000	0.0
20250727 06:00	10.9	10.9	10.9	36	-3.6	19	39	202	0.0	733.0	0	0.127	0.0
20250727 06:05	11.0	11.0	11.0	35	-3.9	21	43	202	0.0	733.2	0	0.000	0.0
20250727 06:10	11.1	11.1	11.1	35	-3.8	19	32	202	0.0	733.2	0	0.000	0.0
20250727 06:15	11.1	11.1	11.1	35	-3.8	21	43	202	0.0	733.2	0	0.000	0.0
