--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250822 00:00	18.3	18.3	18.3	60	10.4	14	29	1	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:05	18.1	18.1	18.1	61	10.4	13	29	358	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:10	18.1	18.1	18.1	61	10.4	11	21	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:15	18.3	18.3	18.3	60	10.4	9	21	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:20	18.3	18.3	18.3	60	10.4	8	18	356	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:25	18.3	18.3	18.3	60	10.4	11	21	352	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:30	18.0	18.0	18.0	61	10.4	11	20	352	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:35	17.9	17.9	17.9	61	10.3	9	20	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:40	17.9	17.9	17.9	61	10.3	9	20	356	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:45	17.7	17.7	17.7	62	10.3	9	17	354	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:50	17.8	17.8	17.8	62	10.4	8	17	347	0.0	734.2	-100000	-100000.000	-1.0
20250822 00:55	17.9	17.9	17.9	62	10.5	7	14	356	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:00	17.8	17.8	17.8	62	10.4	8	15	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:05	17.7	17.7	17.7	62	10.3	9	16	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:10	17.6	17.6	17.6	63	10.4	9	18	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:15	17.5	17.5	17.5	63	10.4	9	18	351	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:20	17.3	17.3	17.3	64	10.4	9	17	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:25	17.2	17.2	17.2	65	10.5	8	14	358	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:30	17.2	17.2	17.2	64	10.3	7	13	358	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:35	17.1	17.1	17.1	65	10.4	9	16	352	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:40	17.0	17.0	17.0	65	10.4	8	16	356	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:45	16.9	16.9	16.9	65	10.3	7	13	0	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:50	16.9	16.9	16.9	65	10.3	7	14	354	0.0	734.2	-100000	-100000.000	-1.0
20250822 01:55	16.8	16.8	16.8	66	10.4	7	13	1	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:00	16.7	16.7	16.7	66	10.3	7	12	3	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:05	16.5	16.5	16.5	66	10.2	6	13	356	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:10	16.5	16.5	16.5	66	10.1	7	13	1	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:15	16.4	16.4	16.4	66	10.0	6	11	1	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:20	16.3	16.3	16.3	67	10.1	5	13	25	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:25	16.3	16.3	16.3	67	10.1	5	10	12	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:30	16.2	16.2	16.2	67	10.0	5	10	9	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:35	16.2	16.2	16.2	67	10.0	5	10	12	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:40	16.2	16.2	16.2	67	10.0	4	7	354	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:45	16.0	16.0	16.0	67	9.9	3	5	354	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:50	16.0	16.0	16.0	68	10.1	4	9	12	0.0	734.2	-100000	-100000.000	-1.0
20250822 02:55	16.1	16.1	16.1	67	9.9	5	9	12	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:00	16.1	16.1	16.1	67	9.9	6	10	3	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:05	16.2	16.2	16.2	67	10.0	5	9	358	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:10	16.1	16.1	16.1	67	9.9	6	10	10	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:15	16.1	16.1	16.1	67	9.9	6	9	3	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:20	16.0	16.0	16.0	67	9.9	5	9	351	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:25	16.0	16.0	16.0	67	9.9	5	8	351	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:30	16.0	16.0	16.0	67	9.9	5	8	347	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:35	16.0	16.0	16.0	67	9.9	5	8	349	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:40	16.0	16.0	16.0	67	9.9	4	6	345	0.0	734.2	-100000	-100000.000	-1.0
20250822 03:45	15.8	15.8	15.8	67	9.7	4	7	354	0.0	734.5	-100000	-100000.000	-1.0
20250822 03:50	15.7	15.7	15.7	68	9.8	5	9	9	0.0	734.5	-100000	-100000.000	-1.0
20250822 03:55	15.9	15.9	15.9	67	9.8	5	9	9	0.0	734.5	-100000	-100000.000	-1.0
20250822 04:00	16.0	16.0	16.0	67	9.9	6	9	18	0.0	734.5	-100000	-100000.000	-1.0
20250822 04:05	16.0	16.0	16.0	67	9.9	5	8	21	0.0	734.5	-100000	-100000.000	-1.0
20250822 04:10	16.0	16.0	16.0	67	9.9	3	8	37	0.0	734.8	-100000	-100000.000	-1.0
20250822 04:15	16.0	16.0	16.0	67	9.9	2	9	108	0.0	734.8	-100000	-100000.000	-1.0
20250822 04:20	15.9	15.9	15.9	67	9.8	3	7	90	0.0	734.8	-100000	-100000.000	-1.0
20250822 04:25	16.0	16.0	16.0	66	9.6	3	7	10	0.0	734.8	-100000	-100000.000	-1.0
20250822 04:30	16.0	16.0	16.0	66	9.7	2	7	345	0.0	734.8	-100000	-100000.000	-1.0
20250822 04:35	15.9	15.9	15.9	67	9.8	4	9	18	0.0	734.8	-100000	-100000.000	-1.0
20250822 04:40	16.0	16.0	16.0	66	9.6	4	8	7	0.0	734.9	-100000	-100000.000	-1.0
20250822 04:45	16.0	16.0	16.0	66	9.6	3	6	14	0.0	735.2	-100000	-100000.000	-1.0
20250822 04:50	15.9	15.9	15.9	66	9.5	3	6	57	0.0	735.2	-100000	-100000.000	-1.0
20250822 04:55	15.9	15.9	15.9	66	9.6	3	6	358	0.0	734.8	-100000	-100000.000	-1.0
20250822 05:00	16.0	16.0	16.0	66	9.6	2	8	318	0.0	734.8	-100000	-100000.000	-1.0
20250822 05:05	15.9	15.9	15.9	65	9.3	2	5	318	0.0	734.8	-100000	-100000.000	-1.0
20250822 05:10	16.0	16.0	16.0	65	9.4	3	8	133	0.0	734.9	-100000	-100000.000	-1.0
20250822 05:15	16.1	16.1	16.1	64	9.3	3	7	185	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:20	16.1	16.1	16.1	64	9.2	3	6	22	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:25	16.1	16.1	16.1	64	9.2	3	12	346	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:30	16.1	16.1	16.1	64	9.3	3	10	12	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:35	16.2	16.2	16.2	64	9.4	3	10	342	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:40	16.1	16.1	16.1	65	9.5	6	13	7	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:45	16.2	16.2	16.2	64	9.3	4	11	32	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:50	16.2	16.2	16.2	64	9.3	5	10	358	0.0	735.2	-100000	-100000.000	-1.0
20250822 05:55	16.2	16.2	16.2	64	9.3	4	14	5	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:00	16.2	16.2	16.2	64	9.3	5	14	12	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:05	16.2	16.2	16.2	64	9.3	4	13	21	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:10	16.2	16.2	16.2	64	9.3	2	11	39	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:15	16.1	16.1	16.1	64	9.2	5	12	41	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:20	16.1	16.1	16.1	64	9.2	3	12	56	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:25	16.1	16.1	16.1	64	9.2	4	13	32	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:30	16.1	16.1	16.1	64	9.2	4	11	111	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:35	16.2	16.2	16.2	63	9.1	4	14	70	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:40	16.2	16.2	16.2	63	9.1	3	14	88	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:45	16.2	16.2	16.2	63	9.1	4	13	45	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:50	16.2	16.2	16.2	63	9.1	6	15	30	0.0	735.2	-100000	-100000.000	-1.0
20250822 06:55	16.3	16.3	16.3	62	9.0	5	11	25	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:00	16.2	16.2	16.2	63	9.1	5	12	34	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:05	16.2	16.2	16.2	63	9.1	3	8	31	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:10	16.1	16.1	16.1	63	9.0	4	12	40	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:15	16.1	16.1	16.1	64	9.2	4	15	54	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:20	16.1	16.1	16.1	63	9.0	5	15	10	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:25	16.1	16.1	16.1	64	9.2	5	11	16	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:30	16.0	16.0	16.0	64	9.2	4	13	45	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:35	16.0	16.0	16.0	64	9.2	3	9	37	0.0	735.2	-100000	-100000.000	-1.0
20250822 07:40	16.0	16.0	16.0	64	9.2	3	13	47	0.0	734.8	-100000	-100000.000	-1.0
20250822 07:45	15.9	15.9	15.9	64	9.1	5	13	64	0.0	734.8	-100000	-100000.000	-1.0
20250822 07:50	16.0	16.0	16.0	64	9.2	6	14	66	0.0	734.8	-100000	-100000.000	-1.0
20250822 07:55	16.0	16.0	16.0	64	9.2	6	13	36	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:00	16.0	16.0	16.0	64	9.2	7	14	97	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:05	16.1	16.1	16.1	63	9.0	6	12	95	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:10	16.0	16.0	16.0	63	9.0	5	9	93	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:15	16.0	16.0	16.0	63	9.0	4	9	77	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:20	16.0	16.0	16.0	63	9.0	3	9	93	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:25	16.0	16.0	16.0	63	8.9	4	12	84	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:30	16.0	16.0	16.0	60	8.3	4	12	88	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:35	16.0	16.0	16.0	62	8.8	8	16	81	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:40	16.3	16.3	16.3	57	7.8	5	11	78	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:45	16.3	16.3	16.3	59	8.2	4	10	72	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:50	16.2	16.2	16.2	59	8.1	5	12	90	0.0	734.8	-100000	-100000.000	-1.0
20250822 08:55	16.2	16.2	16.2	57	7.6	6	15	133	0.0	734.8	-100000	-100000.000	-1.0
20250822 09:00	16.3	16.3	16.3	57	7.7	7	14	138	0.0	734.8	-100000	-100000.000	-1.0
20250822 09:05	16.4	16.4	16.4	56	7.6	8	18	126	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:10	16.5	16.5	16.5	55	7.4	6	17	115	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:15	16.5	16.5	16.5	55	7.4	7	17	145	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:20	16.4	16.4	16.4	55	7.3	7	15	138	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:25	16.4	16.4	16.4	55	7.3	7	19	136	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:30	16.5	16.5	16.5	55	7.4	6	13	118	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:35	16.4	16.4	16.4	55	7.4	7	14	113	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:40	16.5	16.5	16.5	56	7.7	4	9	115	0.0	734.8	-100000	-100000.000	-1.0
20250822 09:45	16.4	16.4	16.4	56	7.6	4	8	63	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:50	16.2	16.2	16.2	58	7.9	5	15	100	0.0	734.5	-100000	-100000.000	-1.0
20250822 09:55	16.2	16.2	16.2	58	7.9	6	12	109	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:00	16.2	16.2	16.2	58	7.9	7	14	113	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:05	16.2	16.2	16.2	58	7.9	8	18	138	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:10	16.3	16.3	16.3	58	8.0	8	18	135	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:15	16.3	16.3	16.3	58	8.0	6	12	147	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:20	16.2	16.2	16.2	58	7.9	6	13	126	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:25	16.2	16.2	16.2	58	7.9	7	16	145	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:30	16.2	16.2	16.2	57	7.6	8	17	145	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:35	16.3	16.3	16.3	57	7.7	6	15	138	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:40	16.3	16.3	16.3	57	7.7	7	15	109	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:45	16.3	16.3	16.3	57	7.8	6	14	109	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:50	16.3	16.3	16.3	58	8.0	6	15	127	0.0	734.5	-100000	-100000.000	-1.0
20250822 10:55	16.2	16.2	16.2	58	7.9	7	15	142	0.0	734.5	-100000	-100000.000	-1.0
20250822 11:00	16.2	16.2	16.2	58	7.9	11	24	165	0.0	734.5	-100000	-100000.000	-1.0
20250822 11:05	16.2	16.2	16.2	58	7.9	11	22	162	0.0	734.5	-100000	-100000.000	-1.0
20250822 11:10	16.2	16.2	16.2	58	7.9	13	25	169	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:15	16.2	16.2	16.2	59	8.1	9	22	156	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:20	16.1	16.1	16.1	59	8.1	8	23	140	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:25	16.2	16.2	16.2	59	8.1	13	25	160	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:30	16.2	16.2	16.2	59	8.1	6	16	144	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:35	16.1	16.1	16.1	59	8.0	9	19	140	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:40	16.1	16.1	16.1	59	8.0	7	16	127	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:45	16.1	16.1	16.1	59	8.0	8	20	122	0.0	734.5	-100000	-100000.000	-1.0
20250822 11:50	16.0	16.0	16.0	59	8.0	7	13	144	0.0	734.2	-100000	-100000.000	-1.0
20250822 11:55	16.0	16.0	16.0	59	8.0	5	14	126	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:00	15.9	15.9	15.9	60	8.1	6	12	136	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:05	15.9	15.9	15.9	60	8.1	6	12	133	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:10	15.8	15.8	15.8	60	8.0	6	16	106	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:15	15.8	15.8	15.8	60	8.1	5	13	140	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:20	15.8	15.8	15.8	61	8.2	5	9	111	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:25	15.7	15.7	15.7	60	7.9	7	15	144	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:30	15.7	15.7	15.7	61	8.2	10	19	147	0.0	734.5	-100000	-100000.000	-1.0
20250822 12:35	15.9	15.9	15.9	60	8.1	9	17	158	0.0	734.5	-100000	-100000.000	-1.0
20250822 12:40	15.9	15.9	15.9	59	7.9	10	22	153	0.0	734.5	-100000	-100000.000	-1.0
20250822 12:45	15.9	15.9	15.9	59	7.9	14	23	162	0.0	734.5	-100000	-100000.000	-1.0
20250822 12:50	15.9	15.9	15.9	59	7.9	14	24	163	0.0	734.2	-100000	-100000.000	-1.0
20250822 12:55	15.9	15.9	15.9	58	7.6	11	24	165	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:00	15.8	15.8	15.8	58	7.5	15	23	165	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:05	15.9	15.9	15.9	58	7.6	14	26	163	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:10	15.8	15.8	15.8	57	7.2	13	26	165	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:15	15.8	15.8	15.8	56	7.0	14	26	165	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:20	15.9	15.9	15.9	56	7.1	15	30	165	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:25	16.0	16.0	16.0	54	6.7	15	30	176	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:30	16.0	16.0	16.0	53	6.4	16	32	172	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:35	16.0	16.0	16.0	52	6.2	15	30	165	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:40	16.0	16.0	16.0	53	6.4	16	29	169	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:45	16.0	16.0	16.0	54	6.7	10	26	162	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:50	16.0	16.0	16.0	53	6.4	11	26	160	0.0	734.5	-100000	-100000.000	-1.0
20250822 13:55	16.1	16.1	16.1	51	5.9	9	22	142	0.0	734.8	-100000	-100000.000	-1.0
20250822 14:00	16.2	16.2	16.2	51	6.0	10	22	147	0.0	734.8	-100000	-100000.000	-1.0
20250822 14:05	16.2	16.2	16.2	51	6.1	7	23	136	0.0	734.8	-100000	-100000.000	-1.0
20250822 14:10	16.4	16.4	16.4	52	6.5	10	23	147	0.0	734.8	-100000	-100000.000	-1.0
20250822 14:15	16.4	16.4	16.4	52	6.5	9	22	140	0.0	734.9	-100000	-100000.000	-1.0
20250822 14:20	16.5	16.5	16.5	53	6.9	10	28	120	0.0	735.2	-100000	-100000.000	-1.0
20250822 14:25	16.6	16.6	16.6	52	6.7	11	28	158	0.0	734.9	-100000	-100000.000	-1.0
20250822 14:30	16.6	16.6	16.6	52	6.7	9	16	154	0.0	735.2	-100000	-100000.000	-1.0
20250822 14:35	16.8	16.8	16.8	52	6.9	6	14	126	0.0	735.2	-100000	-100000.000	-1.0
20250822 14:40	17.0	17.0	17.0	52	7.1	5	14	133	0.0	735.2	-100000	-100000.000	-1.0
20250822 14:45	17.1	17.1	17.1	52	7.1	6	17	146	0.0	735.2	-100000	-100000.000	-1.0
20250822 14:50	17.2	17.2	17.2	52	7.2	8	16	104	0.0	735.2	-100000	-100000.000	-1.0
20250822 14:55	17.3	17.3	17.3	50	6.8	6	21	58	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:00	17.5	17.5	17.5	51	7.3	8	21	133	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:05	17.5	17.5	17.5	52	7.5	7	16	138	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:10	17.5	17.5	17.5	52	7.6	6	18	117	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:15	17.6	17.6	17.6	53	7.9	7	17	46	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:20	17.8	17.8	17.8	52	7.8	7	20	78	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:25	17.8	17.8	17.8	52	7.8	6	23	87	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:30	18.1	18.1	18.1	50	7.5	8	27	74	0.0	735.2	-100000	-100000.000	-1.0
20250822 15:35	18.0	18.0	18.0	51	7.7	6	21	90	0.0	735.5	-100000	-100000.000	-1.0
20250822 15:40	18.1	18.1	18.1	51	7.8	9	25	129	0.0	735.5	-100000	-100000.000	-1.0
20250822 15:45	18.0	18.0	18.0	51	7.7	4	12	187	0.0	735.5	-100000	-100000.000	-1.0
20250822 15:50	18.4	18.4	18.4	50	7.7	9	23	129	0.0	735.5	-100000	-100000.000	-1.0
20250822 15:55	18.2	18.2	18.2	49	7.3	8	23	142	0.0	735.5	-100000	-100000.000	-1.0
20250822 16:00	18.3	18.3	18.3	49	7.3	8	23	169	0.0	735.2	-100000	-100000.000	-1.0
20250822 16:05	18.5	18.5	18.5	47	7.0	8	23	135	0.0	735.5	-100000	-100000.000	-1.0
20250822 16:10	18.5	18.5	18.5	49	7.5	3	12	48	0.0	735.5	-100000	-100000.000	-1.0
