--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250820 00:00	18.2	18.2	18.2	39	4.0	8	21	22	0.0	736.6	555	0.457	2.5
20250820 00:05	18.2	18.2	18.2	39	4.0	8	18	22	0.0	736.6	538	0.000	2.4
20250820 00:10	18.3	18.3	18.3	39	4.1	6	14	0	0.0	736.6	515	0.000	2.3
20250820 00:15	18.2	18.2	18.2	39	4.0	10	16	22	0.0	736.6	496	0.000	2.3
20250820 00:20	18.1	18.1	18.1	40	4.3	10	18	22	0.0	736.5	477	0.000	2.2
20250820 00:25	18.2	18.2	18.2	39	4.0	8	14	0	0.0	736.5	457	0.000	2.1
20250820 00:30	18.1	18.1	18.1	40	4.2	10	19	22	0.0	736.5	444	0.000	2.0
20250820 00:35	18.0	18.0	18.0	40	4.2	8	14	22	0.0	736.4	424	0.000	1.8
20250820 00:40	17.9	17.9	17.9	41	4.5	8	19	22	0.0	736.4	406	0.000	1.7
20250820 00:45	17.7	17.7	17.7	41	4.3	11	19	45	0.0	736.4	387	0.000	1.6
20250820 00:50	17.5	17.5	17.5	42	4.4	10	18	22	0.0	736.4	365	0.000	1.4
20250820 00:55	17.4	17.4	17.4	42	4.3	11	19	22	0.0	736.4	345	0.000	1.3
20250820 01:00	17.2	17.2	17.2	42	4.2	11	18	22	0.0	736.4	323	0.330	1.2
20250820 01:05	17.1	17.1	17.1	43	4.4	10	18	0	0.0	736.4	301	0.000	1.0
20250820 01:10	17.1	17.1	17.1	43	4.4	10	21	22	0.0	736.4	279	0.000	0.9
20250820 01:15	16.9	16.9	16.9	43	4.3	10	16	22	0.0	736.4	256	0.000	0.8
20250820 01:20	16.7	16.7	16.7	44	4.4	8	16	22	0.0	736.4	229	0.000	0.7
20250820 01:25	16.6	16.6	16.6	44	4.3	8	16	22	0.0	736.4	116	0.000	0.6
20250820 01:30	16.4	16.4	16.4	45	4.5	10	18	22	0.0	736.5	109	0.000	0.5
20250820 01:35	16.4	16.4	16.4	45	4.4	8	14	22	0.0	736.4	153	0.000	0.2
20250820 01:40	16.2	16.2	16.2	45	4.2	8	13	22	0.0	736.5	82	0.000	0.0
20250820 01:45	16.1	16.1	16.1	45	4.1	6	13	22	0.0	736.5	25	0.000	0.0
20250820 01:50	16.0	16.0	16.0	46	4.4	6	11	22	0.0	736.5	23	0.000	0.0
20250820 01:55	15.9	15.9	15.9	46	4.3	6	13	22	0.0	736.5	40	0.000	0.0
20250820 02:00	15.8	15.8	15.8	46	4.2	6	13	22	0.0	736.5	43	0.127	0.0
20250820 02:05	15.7	15.7	15.7	46	4.1	8	14	22	0.0	736.6	21	0.000	0.0
20250820 02:10	15.5	15.5	15.5	47	4.2	8	14	22	0.0	736.5	12	0.000	0.0
20250820 02:15	15.3	15.3	15.3	47	4.1	8	14	22	0.0	736.5	11	0.000	0.0
20250820 02:20	15.3	15.3	15.3	48	4.3	6	11	45	0.0	736.5	8	0.000	0.0
20250820 02:25	15.1	15.1	15.1	48	4.2	8	14	45	0.0	736.6	5	0.000	0.0
20250820 02:30	15.1	15.1	15.1	48	4.2	8	13	22	0.0	736.7	0	0.000	0.0
20250820 02:35	15.1	15.1	15.1	48	4.1	10	16	45	0.0	736.8	0	0.000	0.0
20250820 02:40	15.0	15.0	15.0	48	4.1	10	16	45	0.0	736.7	0	0.000	0.0
20250820 02:45	15.0	15.0	15.0	48	4.1	8	14	45	0.0	736.8	0	0.000	0.0
20250820 02:50	14.9	14.9	14.9	49	4.3	6	14	45	0.0	736.8	0	0.000	0.0
